2025-05-11 09:25:10,198 - src.api_client.save_to_db - INFO - Ýlerleme: 1200/3522 (1200 baþarýlý, 0 hata)
2025-05-11 09:25:10,785 - src.api_client.save_to_db - INFO - Ýlerleme: 1300/3522 (1300 baþarýlý, 0 hata)
2025-05-11 09:25:11,373 - src.api_client.save_to_db - INFO - Ýlerleme: 1400/3522 (1400 baþarýlý, 0 hata)
2025-05-11 09:25:12,052 - src.api_client.save_to_db - INFO - Ýlerleme: 1500/3522 (1500 baþarýlý, 0 hata)
2025-05-11 09:25:12,769 - src.api_client.save_to_db - INFO - Ýlerleme: 1600/3522 (1600 baþarýlý, 0 hata)
2025-05-11 09:25:13,403 - src.api_client.save_to_db - INFO - Ýlerleme: 1700/3522 (1700 baþarýlý, 0 hata)
2025-05-11 09:25:14,031 - src.api_client.save_to_db - INFO - Ýlerleme: 1800/3522 (1800 baþarýlý, 0 hata)
2025-05-11 09:25:14,664 - src.api_client.save_to_db - INFO - Ýlerleme: 1900/3522 (1900 baþarýlý, 0 hata)
2025-05-11 09:25:15,286 - src.api_client.save_to_db - INFO - Ýlerleme: 2000/3522 (2000 baþarýlý, 0 hata)
2025-05-11 09:25:15,982 - src.api_client.save_to_db - INFO - Ýlerleme: 2100/3522 (2100 baþarýlý, 0 hata)
2025-05-11 09:25:16,596 - src.api_client.save_to_db - INFO - Ýlerleme: 2200/3522 (2200 baþarýlý, 0 hata)
2025-05-11 09:25:17,250 - src.api_client.save_to_db - INFO - Ýlerleme: 2300/3522 (2300 baþarýlý, 0 hata)
2025-05-11 09:25:17,886 - src.api_client.save_to_db - INFO - Ýlerleme: 2400/3522 (2400 baþarýlý, 0 hata)
2025-05-11 09:25:18,535 - src.api_client.save_to_db - INFO - Ýlerleme: 2500/3522 (2500 baþarýlý, 0 hata)
2025-05-11 09:25:19,161 - src.api_client.save_to_db - INFO - Ýlerleme: 2600/3522 (2600 baþarýlý, 0 hata)
2025-05-11 09:25:19,728 - src.api_client.save_to_db - INFO - Ýlerleme: 2700/3522 (2700 baþarýlý, 0 hata)
2025-05-11 09:25:20,351 - src.api_client.save_to_db - INFO - Ýlerleme: 2800/3522 (2800 baþarýlý, 0 hata)
2025-05-11 09:25:20,964 - src.api_client.save_to_db - INFO - Ýlerleme: 2900/3522 (2900 baþarýlý, 0 hata)
2025-05-11 09:25:21,634 - src.api_client.save_to_db - INFO - Ýlerleme: 3000/3522 (3000 baþarýlý, 0 hata)
2025-05-11 09:25:22,272 - src.api_client.save_to_db - INFO - Ýlerleme: 3100/3522 (3100 baþarýlý, 0 hata)
2025-05-11 09:25:22,895 - src.api_client.save_to_db - INFO - Ýlerleme: 3200/3522 (3200 baþarýlý, 0 hata)
2025-05-11 09:25:23,461 - src.api_client.save_to_db - INFO - Ýlerleme: 3300/3522 (3300 baþarýlý, 0 hata)
2025-05-11 09:25:24,097 - src.api_client.save_to_db - INFO - Ýlerleme: 3400/3522 (3400 baþarýlý, 0 hata)
2025-05-11 09:25:24,770 - src.api_client.save_to_db - INFO - Ýlerleme: 3500/3522 (3500 baþarýlý, 0 hata)
2025-05-11 09:25:24,948 - src.api_client.save_to_db - INFO - Veritabanýna kayýt tamamlandý: 3522 baþarýlý, 0 hata
2025-05-11 09:28:54,008 - src.api_client.save_to_db - INFO - Veritabanýna kayýt baþlýyor: 3522 kamp alaný
2025-05-11 09:28:54,697 - src.api_client.save_to_db - INFO - Ýlerleme: 100/3522 (100 baþarýlý, 0 hata)
2025-05-11 09:28:55,359 - src.api_client.save_to_db - INFO - Ýlerleme: 200/3522 (200 baþarýlý, 0 hata)
2025-05-11 09:28:55,990 - src.api_client.save_to_db - INFO - Ýlerleme: 300/3522 (300 baþarýlý, 0 hata)
2025-05-11 09:28:56,590 - src.api_client.save_to_db - INFO - Ýlerleme: 400/3522 (400 baþarýlý, 0 hata)
2025-05-11 09:28:57,230 - src.api_client.save_to_db - INFO - Ýlerleme: 500/3522 (500 baþarýlý, 0 hata)
2025-05-11 09:28:57,880 - src.api_client.save_to_db - INFO - Ýlerleme: 600/3522 (600 baþarýlý, 0 hata)
2025-05-11 09:28:58,489 - src.api_client.save_to_db - INFO - Ýlerleme: 700/3522 (700 baþarýlý, 0 hata)
2025-05-11 09:28:59,108 - src.api_client.save_to_db - INFO - Ýlerleme: 800/3522 (800 baþarýlý, 0 hata)
2025-05-11 09:28:59,735 - src.api_client.save_to_db - INFO - Ýlerleme: 900/3522 (900 baþarýlý, 0 hata)
2025-05-11 09:29:00,354 - src.api_client.save_to_db - INFO - Ýlerleme: 1000/3522 (1000 baþarýlý, 0 hata)
2025-05-11 09:29:00,964 - src.api_client.save_to_db - INFO - Ýlerleme: 1100/3522 (1100 baþarýlý, 0 hata)
2025-05-11 09:29:01,570 - src.api_client.save_to_db - INFO - Ýlerleme: 1200/3522 (1200 baþarýlý, 0 hata)
2025-05-11 09:29:02,200 - src.api_client.save_to_db - INFO - Ýlerleme: 1300/3522 (1300 baþarýlý, 0 hata)
2025-05-11 09:29:02,819 - src.api_client.save_to_db - INFO - Ýlerleme: 1400/3522 (1400 baþarýlý, 0 hata)
2025-05-11 09:29:03,379 - src.api_client.save_to_db - INFO - Ýlerleme: 1500/3522 (1500 baþarýlý, 0 hata)
2025-05-11 09:29:04,021 - src.api_client.save_to_db - INFO - Ýlerleme: 1600/3522 (1600 baþarýlý, 0 hata)
2025-05-11 09:29:04,625 - src.api_client.save_to_db - INFO - Ýlerleme: 1700/3522 (1700 baþarýlý, 0 hata)
2025-05-11 09:29:05,255 - src.api_client.save_to_db - INFO - Ýlerleme: 1800/3522 (1800 baþarýlý, 0 hata)
2025-05-11 09:29:05,892 - src.api_client.save_to_db - INFO - Ýlerleme: 1900/3522 (1900 baþarýlý, 0 hata)
2025-05-11 09:29:06,486 - src.api_client.save_to_db - INFO - Ýlerleme: 2000/3522 (2000 baþarýlý, 0 hata)
2025-05-11 09:29:07,103 - src.api_client.save_to_db - INFO - Ýlerleme: 2100/3522 (2100 baþarýlý, 0 hata)
2025-05-11 09:29:07,752 - src.api_client.save_to_db - INFO - Ýlerleme: 2200/3522 (2200 baþarýlý, 0 hata)
2025-05-11 09:29:08,362 - src.api_client.save_to_db - INFO - Ýlerleme: 2300/3522 (2300 baþarýlý, 0 hata)
2025-05-11 09:29:09,019 - src.api_client.save_to_db - INFO - Ýlerleme: 2400/3522 (2400 baþarýlý, 0 hata)
2025-05-11 09:29:09,655 - src.api_client.save_to_db - INFO - Ýlerleme: 2500/3522 (2500 baþarýlý, 0 hata)
2025-05-11 09:29:10,290 - src.api_client.save_to_db - INFO - Ýlerleme: 2600/3522 (2600 baþarýlý, 0 hata)
2025-05-11 09:29:10,948 - src.api_client.save_to_db - INFO - Ýlerleme: 2700/3522 (2700 baþarýlý, 0 hata)
2025-05-11 09:29:11,547 - src.api_client.save_to_db - INFO - Ýlerleme: 2800/3522 (2800 baþarýlý, 0 hata)
2025-05-11 09:29:12,186 - src.api_client.save_to_db - INFO - Ýlerleme: 2900/3522 (2900 baþarýlý, 0 hata)
2025-05-11 09:29:12,872 - src.api_client.save_to_db - INFO - Ýlerleme: 3000/3522 (3000 baþarýlý, 0 hata)
2025-05-11 09:29:13,465 - src.api_client.save_to_db - INFO - Ýlerleme: 3100/3522 (3100 baþarýlý, 0 hata)
2025-05-11 09:29:14,046 - src.api_client.save_to_db - INFO - Ýlerleme: 3200/3522 (3200 baþarýlý, 0 hata)
2025-05-11 09:29:14,678 - src.api_client.save_to_db - INFO - Ýlerleme: 3300/3522 (3300 baþarýlý, 0 hata)
2025-05-11 09:29:15,299 - src.api_client.save_to_db - INFO - Ýlerleme: 3400/3522 (3400 baþarýlý, 0 hata)
2025-05-11 09:29:15,934 - src.api_client.save_to_db - INFO - Ýlerleme: 3500/3522 (3500 baþarýlý, 0 hata)
2025-05-11 09:29:16,102 - src.api_client.save_to_db - INFO - Veritabanýna kayýt tamamlandý: 3522 baþarýlý, 0 hata
2025-05-11 09:41:41,982 - src.api_client.save_to_db - INFO - Veritabanýna kayýt baþlýyor: 3522 kamp alaný
2025-05-11 09:41:42,750 - src.api_client.save_to_db - INFO - Ýlerleme: 100/3522 (100 baþarýlý, 0 hata)
2025-05-11 09:41:43,484 - src.api_client.save_to_db - INFO - Ýlerleme: 200/3522 (200 baþarýlý, 0 hata)
2025-05-11 09:41:44,117 - src.api_client.save_to_db - INFO - Ýlerleme: 300/3522 (300 baþarýlý, 0 hata)
2025-05-11 09:41:44,751 - src.api_client.save_to_db - INFO - Ýlerleme: 400/3522 (400 baþarýlý, 0 hata)
2025-05-11 09:41:45,388 - src.api_client.save_to_db - INFO - Ýlerleme: 500/3522 (500 baþarýlý, 0 hata)
2025-05-11 09:41:46,043 - src.api_client.save_to_db - INFO - Ýlerleme: 600/3522 (600 baþarýlý, 0 hata)
2025-05-11 09:41:46,650 - src.api_client.save_to_db - INFO - Ýlerleme: 700/3522 (700 baþarýlý, 0 hata)
2025-05-11 09:41:47,297 - src.api_client.save_to_db - INFO - Ýlerleme: 800/3522 (800 baþarýlý, 0 hata)
2025-05-11 09:41:47,942 - src.api_client.save_to_db - INFO - Ýlerleme: 900/3522 (900 baþarýlý, 0 hata)
2025-05-11 09:41:48,520 - src.api_client.save_to_db - INFO - Ýlerleme: 1000/3522 (1000 baþarýlý, 0 hata)
2025-05-11 09:41:49,137 - src.api_client.save_to_db - INFO - Ýlerleme: 1100/3522 (1100 baþarýlý, 0 hata)
2025-05-11 09:41:49,796 - src.api_client.save_to_db - INFO - Ýlerleme: 1200/3522 (1200 baþarýlý, 0 hata)
2025-05-11 09:41:50,385 - src.api_client.save_to_db - INFO - Ýlerleme: 1300/3522 (1300 baþarýlý, 0 hata)
2025-05-11 09:41:50,994 - src.api_client.save_to_db - INFO - Ýlerleme: 1400/3522 (1400 baþarýlý, 0 hata)
2025-05-11 09:41:51,599 - src.api_client.save_to_db - INFO - Ýlerleme: 1500/3522 (1500 baþarýlý, 0 hata)
2025-05-11 09:41:52,236 - src.api_client.save_to_db - INFO - Ýlerleme: 1600/3522 (1600 baþarýlý, 0 hata)
2025-05-11 09:41:52,842 - src.api_client.save_to_db - INFO - Ýlerleme: 1700/3522 (1700 baþarýlý, 0 hata)
2025-05-11 09:41:53,461 - src.api_client.save_to_db - INFO - Ýlerleme: 1800/3522 (1800 baþarýlý, 0 hata)
2025-05-11 09:41:54,104 - src.api_client.save_to_db - INFO - Ýlerleme: 1900/3522 (1900 baþarýlý, 0 hata)
2025-05-11 09:41:54,701 - src.api_client.save_to_db - INFO - Ýlerleme: 2000/3522 (2000 baþarýlý, 0 hata)
2025-05-11 09:41:55,292 - src.api_client.save_to_db - INFO - Ýlerleme: 2100/3522 (2100 baþarýlý, 0 hata)
2025-05-11 09:41:55,933 - src.api_client.save_to_db - INFO - Ýlerleme: 2200/3522 (2200 baþarýlý, 0 hata)
2025-05-11 09:41:56,597 - src.api_client.save_to_db - INFO - Ýlerleme: 2300/3522 (2300 baþarýlý, 0 hata)
2025-05-11 09:41:57,225 - src.api_client.save_to_db - INFO - Ýlerleme: 2400/3522 (2400 baþarýlý, 0 hata)
2025-05-11 09:41:57,835 - src.api_client.save_to_db - INFO - Ýlerleme: 2500/3522 (2500 baþarýlý, 0 hata)
2025-05-11 09:41:58,483 - src.api_client.save_to_db - INFO - Ýlerleme: 2600/3522 (2600 baþarýlý, 0 hata)
